institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Greenville College,0,2011,2011-0,1083,15159,121575,107052
Highland Community College,0,2011,2011-0,1523,21317,117200,113521
University of Illinois at Chicago,1227,2011,2011-1227,8171,163427,1154888,1254292
Benedictine University,0,2011,2011-0,1259,26439,118554,98670
University of Illinois at Urbana-Champaign,1228,2011,2011-1228,76887,1076416,14413222,4980589
Illinois Wesleyan University,0,2011,2011-0,2248,49458,139493,139493
Illinois Central College,0,2011,2011-0,1299,25974,112393,112216
Illinois College,0,2011,2011-0,1725,36234,98037,98037
Illinois Eastern Community Colleges-Olney Central College,0,2011,2011-0,2143,25715,167906,163042
Illinois State University,0,2011,2011-0,21799,392387,1887713,1887713
Illinois Valley Community College,0,2011,2011-0,1585,23780,59748,59748
John A Logan College,0,2011,2011-0,3162,41110,215678,214568
John Wood Community College,0,2011,2011-0,2069,31041,78369,82325
Joliet Junior College,0,2011,2011-0,1081,16220,39650,48700
Judson University,0,2011,2011-0,2675,37453,289703,289703
Kankakee Community College,0,2011,2011-0,3187,44613,202152,205845
Kaskaskia College,0,2011,2011-0,1583,18991,160279,160279
Kishwaukee College,0,2011,2011-0,1055,15822,45483,45483
Knox College,0,2011,2011-0,1312,22301,83068,83068
College of Lake County,0,2011,2011-0,1076,17223,36195,36195
Lake Forest College,0,2011,2011-0,1256,23856,96908,95706
Lake Land College,0,2011,2011-0,2476,39614,154563,149783
Lewis and Clark Community College,0,2011,2011-0,1940,29093,103984,103984
Lewis University,0,2011,2011-0,5573,78018,507976,507976
Lincoln Christian University,0,2011,2011-0,1140,15956,38411,29806
Lincoln College,0,2011,2011-0,2037,28512,266616,266616
Lincoln Land Community College,0,2011,2011-0,690,9663,68985,69804
Loyola University Chicago,1260,2011,2011-1260,10538,179138,1752285,1752285
MacMurray College,0,2011,2011-0,789,14195,50879,50879
McHenry County College,0,2011,2011-0,1091,12006,34975,34975
McKendree University,0,2011,2011-0,1445,31786,342624,342624
Millikin University,0,2011,2011-0,1870,39267,141543,136030
Monmouth College,0,2011,2011-0,2629,42070,103130,98430
Moraine Valley Community College,0,2011,2011-0,1394,19517,38796,38796
Morton College,0,2011,2011-0,1184,17760,37937,37980
North Central College,0,2011,2011-0,3474,59058,166585,165576
North Park University,0,2011,2011-0,1468,30832,139868,138802
Northern Illinois University,0,2011,2011-0,11944,214999,403727,1356295
Northwestern University,1321,2011,2011-1321,44550,668256,10048801,4158854
Oakton Community College,0,2011,2011-0,1663,19957,40773,40773
Olivet Nazarene University,0,2011,2011-0,2971,80205,428797,423415
Parkland College,0,2011,2011-0,1903,30448,120016,101035
Prairie State College,0,2011,2011-0,803,9640,54589,54589
Quincy University,0,2011,2011-0,9720,136081,526269,437436
Rend Lake College,0,2011,2011-0,2322,23223,85324,69930
Robert Morris University Illinois,0,2011,2011-0,5007,290431,1187193,1187193
Rock Valley College,0,2011,2011-0,1671,28412,41061,41061
Rockford College,0,2011,2011-0,1934,29006,68874,68874
Dominican University,0,2011,2011-0,809,22661,95569,95569
University of St Francis,0,2011,2011-0,1858,27875,315530,315530
Saint Xavier University,0,2011,2011-0,2368,45000,406831,400831
University of Illinois at Springfield,0,2011,2011-0,3454,48349,283100,248066
Sauk Valley Community College,0,2011,2011-0,1305,23487,94777,88758
Shawnee Community College,0,2011,2011-0,805,13693,86261,78064
Southeastern Illinois College,0,2011,2011-0,2042,22462,146342,139074
Spoon River College,0,2011,2011-0,2679,29469,86457,82870
Southern Illinois University Carbondale,1356,2011,2011-1356,19991,299866,1423765,2168174
Southern Illinois University Edwardsville,0,2011,2011-0,10894,163405,1115212,794576
South Suburban College,0,2011,2011-0,1825,29200,100557,100557
Trinity Christian College,0,2011,2011-0,2075,29049,167629,167629
Trinity International University,0,2011,2011-0,3401,40810,294566,294566
Triton College,0,2011,2011-0,2290,29775,43800,45551
Waubonsee Community College,0,2011,2011-0,903,16256,36717,35967
Western Illinois University,0,2011,2011-0,19242,288629,921681,921681
Wheaton College,0,2011,2011-0,3529,52937,216162,213154
Harper College,0,2011,2011-0,1634,24510,36426,36426
Ancilla College,0,2011,2011-0,1034,22740,76687,76687
Anderson University,0,2011,2011-0,1678,28524,84587,82822
Ball State University,0,2011,2011-0,15080,211125,1398573,1398573
Bethel College,0,2011,2011-0,3930,98261,478707,408539
Butler University,1139,2011,2011-1139,33202,498028,2822892,2822892
Calumet College of Saint Joseph,0,2011,2011-0,2093,35588,148109,148109
DePauw University,0,2011,2011-0,3403,74874,183504,177869
Earlham College,0,2011,2011-0,2550,33149,101185,96185
University of Evansville,0,2011,2011-0,35990,539857,1885565,1885565
Franklin College,0,2011,2011-0,3475,48654,154869,154689
Goshen College,0,2011,2011-0,1695,30516,199639,199639
Grace College and Theological Seminary,0,2011,2011-0,1966,35389,224858,224858
Hanover College,0,2011,2011-0,2553,40846,269342,269125
Holy Cross College,0,2011,2011-0,1935,29026,84784,83784
Huntington University,0,2011,2011-0,6155,67710,469219,307737
Indiana University-Purdue University-Fort Wayne,0,2011,2011-0,13441,215056,786554,786554
Indiana University-Purdue University-Indianapolis,1237,2011,2011-1237,27848,445573,1194554,1194554
University of Indianapolis,0,2011,2011-0,4099,61486,534157,534157
Indiana Institute of Technology,0,2011,2011-0,2600,88413,377214,374524
University of Southern Indiana,0,2011,2011-0,3693,59090,484530,484530
Indiana State University,1232,2011,2011-1232,20083,301250,11625071,1340015
Indiana University-South Bend,0,2011,2011-0,5111,66440,168502,167006
Indiana University-Bloomington,1231,2011,2011-1231,91374,1461978,16570158,7653945
Indiana University-Northwest,0,2011,2011-0,1050,13649,36935,36935
Indiana University-Southeast,0,2011,2011-0,3131,78266,216969,197862
Indiana University-East,0,2011,2011-0,1921,40343,85435,85435
Manchester College,0,2011,2011-0,2691,32287,101407,107484
Marian University,0,2011,2011-0,3280,49203,347362,347362
Indiana Wesleyan University,0,2011,2011-0,6913,89872,370610,346050
University of Notre Dame,1323,2011,2011-1323,74557,1043799,4051468,4060565
Oakland City University,0,2011,2011-0,1543,21608,284470,253497
Purdue University-Calumet Campus,0,2011,2011-0,2059,22645,176201,176201
Purdue University-North Central Campus,0,2011,2011-0,889,12445,64672,52356
Rose-Hulman Institute of Technology,0,2011,2011-0,1927,30832,144440,144440
University of Saint Francis-Ft Wayne,0,2011,2011-0,1666,63304,582765,582765
Saint Josephs College,0,2011,2011-0,2833,59500,321752,440020
Saint Mary-of-the-Woods College,0,2011,2011-0,0,0,,
Taylor University,0,2011,2011-0,4552,54619,460291,410816
Trine University,0,2011,2011-0,983,25557,126722,87914
Valparaiso University,1434,2011,2011-1434,19531,273427,1604343,1604343
Vincennes University,0,2011,2011-0,4490,58370,454417,449612
AIB College of Business,0,2011,2011-0,0,0,,
Briar Cliff University,0,2011,2011-0,1727,44903,344243,344243
Buena Vista University,0,2011,2011-0,1547,34031,186547,159269
Central College,0,2011,2011-0,885,34514,122179,122179
Clarke College,0,2011,2011-0,3017,45258,216148,216148
Coe College,0,2011,2011-0,1545,29347,94921,88577
Cornell College,0,2011,2011-0,2272,29531,136024,131880
Des Moines Area Community College,0,2011,2011-0,1809,27132,100305,100305
Dordt College,0,2011,2011-0,1109,27725,175099,175099
Drake University,1179,2011,2011-1179,30880,586728,1950495,2053256
University of Dubuque,0,2011,2011-0,1582,30060,146825,141356
Ellsworth Community College,0,2011,2011-0,1556,26454,77591,77591
Emmaus Bible College,0,2011,2011-0,904,11756,14664,15756
Eastern Iowa Community College District,0,2011,2011-0,1050,12596,44460,44460
Faith Baptist Bible College and Theological Seminary,0,2011,2011-0,1122,14588,22596,22596
Graceland University-Lamoni,0,2011,2011-0,1205,38573,339977,339977
Grand View University,0,2011,2011-0,1528,45847,235364,235364
Grinnell College,0,2011,2011-0,1936,40647,91166,91166
Indian Hills Community College,0,2011,2011-0,4239,59349,266164,371029
Iowa Central Community College,0,2011,2011-0,1300,19493,94652,78899
Iowa Lakes Community College,0,2011,2011-0,2884,46139,158624,158624
Iowa State University,1235,2011,2011-1235,48144,770306,7182665,4530329
Iowa Wesleyan College,0,2011,2011-0,1170,18719,204026,204026
Iowa Western Community College,0,2011,2011-0,2716,38021,251521,322304
University of Iowa,1234,2011,2011-1234,77484,929812,8796540,5243813
Kirkwood Community College,0,2011,2011-0,2912,43673,125500,125500
Loras College,0,2011,2011-0,2413,62750,222239,222239
Luther College,0,2011,2011-0,1681,38653,129628,125318
Marshalltown Community College,0,2011,2011-0,2094,33496,163453,161543
Morningside College,0,2011,2011-0,697,22305,333036,331747
Mount Mercy College,0,2011,2011-0,4191,75444,210950,210950
Ashford University,0,2011,2011-0,2678,40167,197224,197224
North Iowa Area Community College,0,2011,2011-0,1580,31609,70343,71896
University of Northern Iowa,1320,2011,2011-1320,20702,310535,2188149,1973250
Northwestern College,0,2011,2011-0,995,31840,438520,418409
Saint Ambrose University,0,2011,2011-0,526,23131,356819,356819
Simpson College,0,2011,2011-0,1283,42352,314302,132794
Southeastern Community College,0,2011,2011-0,6326,75914,231709,231709
Southwestern Community College,0,2011,2011-0,1828,20106,60197,60197
Upper Iowa University,0,2011,2011-0,3109,68399,383422,383422
Waldorf College,0,2011,2011-0,1413,21200,161032,161032
Wartburg College,0,2011,2011-0,1418,25525,150050,150050
William Penn University,0,2011,2011-0,2820,45114,297481,297481
Allen County Community College,0,2011,2011-0,2064,22708,63114,63114
Baker University,0,2011,2011-0,2435,38952,312473,315630
Barton County Community College,0,2011,2011-0,1762,28185,98964,175526
Benedictine College,0,2011,2011-0,2257,31596,333782,333782
Bethany College,0,2011,2011-0,1140,25087,211734,211734
Bethel College,0,2011,2011-0,1333,22665,131450,128007
Brown Mackie College-Salina,0,2011,2011-0,938,30000,213453,213396
Butler Community College,0,2011,2011-0,1194,23880,219534,165139
Central Christian College of Kansas,0,2011,2011-0,1005,29149,143175,137018
Cloud County Community College,0,2011,2011-0,1324,17215,156037,157775
Coffeyville Community College,0,2011,2011-0,3543,53146,241642,216239
Colby Community College,0,2011,2011-0,1088,18500,114761,114761
Cowley County Community College,0,2011,2011-0,4892,68481,227017,224760
Dodge City Community College,0,2011,2011-0,1893,28400,115559,115559
Emporia State University,0,2011,2011-0,3076,43067,329608,329608
Fort Hays State University,0,2011,2011-0,3569,53535,428339,336611
Barclay College,0,2011,2011-0,1361,14968,30410,30410
Friends University,0,2011,2011-0,1830,49409,268069,226275
Fort Scott Community College,0,2011,2011-0,1032,18581,97793,96556
Garden City Community College,0,2011,2011-0,1944,23328,159476,159476
Haskell Indian Nations University,0,2011,2011-0,4427,70825,98521,98583
Hesston College,0,2011,2011-0,2116,29623,107534,97218
Highland Community College,0,2011,2011-0,1544,23166,88203,108301
Hutchinson Community College,0,2011,2011-0,4009,56121,320521,320521
Independence Community College,0,2011,2011-0,1961,27451,118554,118554
Johnson County Community College,0,2011,2011-0,2972,35663,182699,181949
Kansas City Kansas Community College,0,2011,2011-0,3156,44178,143880,143880
University of Kansas,1242,2011,2011-1242,97873,1663835,16116502,10984833
Newman University,0,2011,2011-0,3156,53660,428799,418799
Kansas State University,1243,2011,2011-1243,79917,1198750,7259800,5124051
Kansas Wesleyan University,0,2011,2011-0,1726,37966,127106,127106
Labette Community College,0,2011,2011-0,2309,30017,130166,130160
Manhattan Christian College,0,2011,2011-0,2068,24818,32518,32518
McPherson College,0,2011,2011-0,1948,35055,148388,148388
MidAmerica Nazarene University,0,2011,2011-0,2024,32380,341533,319423
Neosho County Community College,0,2011,2011-0,1219,26809,94128,92586
Ottawa University,0,2011,2011-0,902,22541,219423,206556
Pittsburg State University,0,2011,2011-0,3935,70823,445156,445156
Pratt Community College,0,2011,2011-0,1429,27160,134739,123100
University of Saint Mary,0,2011,2011-0,832,19136,143541,143218
Seward County Community College and Area Technical School,0,2011,2011-0,2335,30359,139013,152983
Southwestern College,0,2011,2011-0,3167,44341,188797,170915
Sterling College,0,2011,2011-0,848,25441,361996,365944
Tabor College,0,2011,2011-0,1088,28288,240279,221757
Washburn University,0,2011,2011-0,5021,80334,501356,422427
Wichita State University,1455,2011,2011-1455,38873,583094,4166873,3220886
Alice Lloyd College,0,2011,2011-0,1260,21413,58547,57172
Asbury College,0,2011,2011-0,1397,34923,115512,115512
Bellarmine University,0,2011,2011-0,6244,93660,724127,724127
Berea College,0,2011,2011-0,1515,30307,61555,61555
Brescia University,0,2011,2011-0,1414,22619,161738,159678
Campbellsville University,0,2011,2011-0,1073,35419,436261,479701
Centre College,0,2011,2011-0,2474,39580,62793,62793
University of the Cumberlands,0,2011,2011-0,2429,29143,440647,440647
Eastern Kentucky University,1184,2011,2011-1184,12148,157922,1179408,1179408
Georgetown College,1207,2011,2011-1207,5686,85290,796047,747234
Kentucky State University,0,2011,2011-0,5286,47576,305966,279120
Kentucky Wesleyan College,0,2011,2011-0,10091,131183,553914,501519
University of Kentucky,1246,2011,2011-1246,198147,2575913,16781239,11573283
Kentucky Christian University,0,2011,2011-0,1618,27507,44119,44119
Lindsey Wilson College,0,2011,2011-0,950,52230,579127,568998
University of Louisville,1257,2011,2011-1257,93417,1494664,25890003,9089769
Mid-Continent University,0,2011,2011-0,2772,41574,290765,393871
Midway College,0,2011,2011-0,0,0,,
Morehead State University,1287,2011,2011-1287,20552,287723,1102582,1102582
Murray State University,1293,2011,2011-1293,21935,329018,1519412,1513316
Northern Kentucky University,1297,2011,2011-1297,6122,91827,678170,678170
Pikeville College,0,2011,2011-0,3966,87244,388708,388708
Saint Catharine College,0,2011,2011-0,1521,24335,193555,259273
Spalding University,0,2011,2011-0,2319,39421,61098,53610
Thomas More College,0,2011,2011-0,1509,37722,101088,101088
Transylvania University,0,2011,2011-0,1988,51678,148694,148694
Union College,0,2011,2011-0,3159,53708,236716,236716
Western Kentucky University,1443,2011,2011-1443,28682,401549,1965315,1965315
Bossier Parish Community College,0,2011,2011-0,1110,18870,79556,69403
Centenary College of Louisiana,0,2011,2011-0,11905,166667,847499,847499
Delgado Community College,0,2011,2011-0,1724,31032,120032,120032
Dillard University,0,2011,2011-0,3376,43884,267994,267994
Grambling State University,0,2011,2011-0,7394,118297,398839,398839
Louisiana State University and Agricultural & Mechanical College,1261,2011,2011-1261,42031,630461,6767009,4195336
Louisiana State University-Eunice,0,2011,2011-0,0,0,,
Louisiana State University-Shreveport,0,2011,2011-0,8320,133116,270814,269740
Louisiana College,0,2011,2011-0,2150,38695,97964,97964
Louisiana Tech University,0,2011,2011-0,29837,417714,1348415,1332169
Loyola University New Orleans,0,2011,2011-0,3688,70065,563356,553746
McNeese State University,1270,2011,2011-1270,11025,154354,595318,595318
University of New Orleans,1309,2011,2011-1309,13118,157420,656582,591523
Nicholls State University,0,2011,2011-0,8846,176926,543451,524029
University of Louisiana Monroe,0,2011,2011-0,13035,208555,805557,805557
Northwestern State University of Louisiana,1322,2011,2011-1322,5823,157212,846852,851563
Southeastern Louisiana University,1368,2011,2011-1368,11118,144528,614038,597142
Southern University and A & M College,1380,2011,2011-1380,6658,99869,210943,455105
Southern University at New Orleans,0,2011,2011-0,1000,14000,162105,162105
