institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
San Bernardino Valley College,0,2011,2011-0,2095,29331,47807,47807
Saint Marys College of California,1388,2011,2011-1388,19339,290080,2130703,2130703
Solano Community College,0,2011,2011-0,1144,16016,50461,50461
Sonoma State University,0,2011,2011-0,2317,44029,345795,346715
Vanguard University of Southern California,0,2011,2011-0,1645,23035,372937,372937
Southwestern College,0,2011,2011-0,806,10478,52442,50368
University of Southern California,1425,2011,2011-1425,48154,818619,3535629,4548364
Taft College,0,2011,2011-0,0,0,,
Ventura College,0,2011,2011-0,1106,15489,125846,119847
Victor Valley College,0,2011,2011-0,1008,14113,27876,25899
West Hills College-Coalinga,0,2011,2011-0,1305,20872,34887,26814
West Los Angeles College,0,2011,2011-0,878,14922,59086,59086
West Valley College,0,2011,2011-0,293,4980,43879,45779
Westmont College,0,2011,2011-0,4324,51892,335898,394586
Whittier College,0,2011,2011-0,1754,28068,64067,60068
Yuba College,0,2011,2011-0,2693,37702,49121,49121
Adams State College,0,2011,2011-0,4590,82616,333556,333556
University of Colorado at Colorado Springs,0,2011,2011-0,3938,55126,243074,269814
University of Colorado at Boulder,1160,2011,2011-1160,59036,885546,3587371,3811877
Colorado Christian University,0,2011,2011-0,2096,52390,242263,242263
Colorado College,0,2011,2011-0,3867,58001,140469,138841
Colorado Northwestern Community College,0,2011,2011-0,4225,63371,155513,155513
Colorado School of Mines,0,2011,2011-0,1933,36730,408203,408203
Colorado State University,0,2011,2011-0,15605,265281,1969756,1969756
University of Denver,0,2011,2011-0,23422,351336,2327247,2327247
Fort Lewis College,0,2011,2011-0,4149,66377,560140,550568
Lamar Community College,0,2011,2011-0,900,22500,167953,167953
Mesa State College,0,2011,2011-0,3406,57905,310431,309296
Metropolitan State College of Denver,0,2011,2011-0,4940,69164,412863,411743
Northeastern Junior College,0,2011,2011-0,1685,21902,126463,126463
University of Northern Colorado,1294,2011,2011-1294,13167,223839,1082974,1082974
Otero Junior College,0,2011,2011-0,1019,15280,78674,78674
Regis University,0,2011,2011-0,4008,44086,620434,613227
Colorado State University-Pueblo,0,2011,2011-0,2864,42958,324013,317661
Trinidad State Junior College,0,2011,2011-0,2053,30789,124385,124385
Western State College of Colorado,0,2011,2011-0,2805,50490,359062,351190
Albertus Magnus College,0,2011,2011-0,2076,29057,57765,44743
Briarwood College,0,2011,2011-0,104,1450,35800,35800
University of Bridgeport,0,2011,2011-0,1674,45196,628809,624290
Central Connecticut State University,1148,2011,2011-1148,12506,150075,1139321,1139321
Connecticut College,0,2011,2011-0,2712,37971,111957,111957
University of Connecticut,1163,2011,2011-1163,117074,2224399,7745145,6940903
Eastern Connecticut State University,0,2011,2011-0,2361,35410,137359,137359
Fairfield University,0,2011,2011-0,27788,416815,1954687,1954687
University of Hartford,1216,2011,2011-1216,13963,195477,1819792,1511038
Manchester Community College,0,2011,2011-0,0,0,,
Mitchell College,0,2011,2011-0,1519,27335,55545,54690
University of New Haven,0,2011,2011-0,3263,45680,531103,562269
Post University,0,2011,2011-0,1172,32807,343431,343431
Quinnipiac University,0,2011,2011-0,17302,294138,2002991,2002991
Sacred Heart University,0,2011,2011-0,10714,149990,1096923,1096923
Saint Joseph College,0,2011,2011-0,0,0,,
